naics_title,occ_title,state,amount_employed,annual_mean_wage,hourly_mean_wage
Cross-industry,"Insurance Appraisers, Auto Damage",US,"7,790","$77,050 ",$37.04 
Cross-industry,Compliance Officers,US,"397,770","$84,980 ",$40.86 
Cross-industry,Compliance Officers,US,"397,770","$84,980 ",$40.86 
Cross-industry,Cost Estimators,US,"219,530","$83,160 ",$39.98 
Cross-industry,Cost Estimators,US,"219,530","$83,160 ",$39.98 
Cross-industry,Human Resources Workers,US,"982,460","$80,860 ",$38.88 
Cross-industry,Human Resources Specialists,US,"917,460","$79,730 ",$38.33 
Cross-industry,Farm Labor Contractors,US,410,"$51,910 ",$24.96 
Cross-industry,Labor Relations Specialists,US,"64,590","$97,130 ",$46.70 
Cross-industry,Logisticians and Project Management Specialists,US,"1,241,800","$104,210 ",$50.10 
Cross-industry,Logisticians,US,"235,640","$87,600 ",$42.12 
Cross-industry,Project Management Specialists,US,"1,006,160","$108,100 ",$51.97 
Cross-industry,Management Analysts,US,"893,900","$114,710 ",$55.15 
Cross-industry,Management Analysts,US,"893,900","$114,710 ",$55.15 
Cross-industry,"Meeting, Convention, and Event Planners",US,"134,670","$65,090 ",$31.29 
Cross-industry,"Meeting, Convention, and Event Planners",US,"134,670","$65,090 ",$31.29 
Cross-industry,Fundraisers,US,"105,930","$73,130 ",$35.16 
Cross-industry,Fundraisers,US,"105,930","$73,130 ",$35.16 
Cross-industry,"Compensation, Benefits, and Job Analysis Specialists",US,"102,370","$82,920 ",$39.86 
Cross-industry,"Compensation, Benefits, and Job Analysis Specialists",US,"102,370","$82,920 ",$39.86 
Cross-industry,Training and Development Specialists,US,"436,610","$73,760 ",$35.46 
Cross-industry,Training and Development Specialists,US,"436,610","$73,760 ",$35.46 
Cross-industry,Market Research Analysts and Marketing Specialists,US,"861,140","$86,480 ",$41.58 
Cross-industry,Market Research Analysts and Marketing Specialists,US,"861,140","$86,480 ",$41.58 
Cross-industry,Miscellaneous Business Operations Specialists,US,"1,128,200","$92,380 ",$44.41 
Cross-industry,"Business Operations Specialists, All Other",US,"1,128,200","$92,380 ",$44.41 
Cross-industry,Financial Specialists,US,"3,033,120","$100,090 ",$48.12 
Cross-industry,Accountants and Auditors,US,"1,448,290","$93,520 ",$44.96 
Cross-industry,Accountants and Auditors,US,"1,448,290","$93,520 ",$44.96 
Cross-industry,Property Appraisers and Assessors,US,"59,070","$77,160 ",$37.10 
Cross-industry,Property Appraisers and Assessors,US,"59,070","$77,160 ",$37.10 
Cross-industry,Budget Analysts,US,"47,170","$93,920 ",$45.15 
Cross-industry,Budget Analysts,US,"47,170","$93,920 ",$45.15 
Cross-industry,Credit Analysts,US,"67,370","$98,040 ",$47.14 
Cross-industry,Credit Analysts,US,"67,370","$98,040 ",$47.14 
Cross-industry,Financial Analysts and Advisors,US,"775,200","$128,420 ",$61.74 
Cross-industry,Financial and Investment Analysts,US,"340,580","$116,490 ",$56.01 
Cross-industry,Personal Financial Advisors,US,"270,480","$160,210 ",$77.02 
Cross-industry,Insurance Underwriters,US,"107,820","$90,830 ",$43.67 
Cross-industry,Financial Risk Specialists,US,"56,320","$119,930 ",$57.66 
Cross-industry,Financial Examiners,US,"62,830","$103,650 ",$49.83 
Cross-industry,Financial Examiners,US,"62,830","$103,650 ",$49.83 
Cross-industry,Credit Counselors and Loan Officers,US,"318,640","$83,360 ",$40.08 
Cross-industry,Credit Counselors,US,"28,110","$55,890 ",$26.87 
Cross-industry,Loan Officers,US,"290,530","$86,020 ",$41.35 
Cross-industry,"Tax Examiners, Collectors and Preparers, and Revenue Agents",US,"127,100","$62,530 ",$30.06 
Cross-industry,"Tax Examiners and Collectors, and Revenue Agents",US,"53,530","$67,570 ",$32.49 
Cross-industry,Tax Preparers,US,"73,570","$58,860 ",$28.30 
Cross-industry,Miscellaneous Financial Specialists,US,"127,450","$93,890 ",$45.14 
Cross-industry,"Financial Specialists, All Other",US,"127,450","$93,890 ",$45.14 
Cross-industry,Computer and Mathematical Occupations,US,"5,192,890","$116,810 ",$56.16 
Cross-industry,Computer Occupations,US,"4,786,660","$116,770 ",$56.14 
Cross-industry,Computer and Information Analysts,US,"677,230","$116,130 ",$55.83 
Cross-industry,Computer Systems Analysts,US,"497,800","$111,960 ",$53.83 
Cross-industry,Information Security Analysts,US,"179,430","$127,730 ",$61.41 
Cross-industry,Computer and Information Research Scientists,US,"38,480","$152,310 ",$73.23 
Cross-industry,Computer and Information Research Scientists,US,"38,480","$152,310 ",$73.23 
Cross-industry,Computer Support Specialists,US,"843,660","$67,530 ",$32.47 
Cross-industry,Computer Network Support Specialists,US,"146,450","$79,610 ",$38.27 
Cross-industry,Computer User Support Specialists,US,"697,210","$64,990 ",$31.25 
Cross-industry,Database and Network Administrators and Architects,US,"633,540","$115,840 ",$55.69 
Cross-industry,Computer Network Architects,US,"177,010","$135,890 ",$65.33 
Cross-industry,Database Administrators,US,"73,180","$107,440 ",$51.65 
Cross-industry,Database Architects,US,"64,770","$142,620 ",$68.57 
Cross-industry,Network and Computer Systems Administrators,US,"318,570","$101,190 ",$48.65 
Cross-industry,"Software and Web Developers, Programmers, and Testers",US,"2,154,370","$135,910 ",$65.34 
Cross-industry,Computer Programmers,US,"109,870","$103,640 ",$49.83 
Cross-industry,Software Developers,US,"1,654,440","$144,570 ",$69.50 
Cross-industry,Software Quality Assurance Analysts and Testers,US,"199,800","$110,260 ",$53.01 
Cross-industry,Web Developers,US,"78,860","$98,790 ",$47.50 
Cross-industry,Web and Digital Interface Designers,US,"111,400","$111,450 ",$53.58 
Cross-industry,Miscellaneous Computer Occupations,US,"439,380","$116,700 ",$56.11 
Cross-industry,"Computer Occupations, All Other",US,"439,380","$116,700 ",$56.11 
Cross-industry,Mathematical Science Occupations,US,"406,230","$117,190 ",$56.34 
Cross-industry,Actuaries,US,"28,340","$134,990 ",$64.90 
Cross-industry,Actuaries,US,"28,340","$134,990 ",$64.90 
Cross-industry,Mathematicians,US,"2,220","$122,520 ",$58.91 
Cross-industry,Mathematicians,US,"2,220","$122,520 ",$58.91 
Cross-industry,Operations Research Analysts,US,"107,760","$99,120 ",$47.66 
Cross-industry,Operations Research Analysts,US,"107,760","$99,120 ",$47.66 
Cross-industry,Statisticians,US,"29,800","$112,330 ",$54.01 
Cross-industry,Statisticians,US,"29,800","$112,330 ",$54.01 
Cross-industry,Data Scientists,US,"233,440","$124,590 ",$59.90 
Cross-industry,Data Scientists,US,"233,440","$124,590 ",$59.90 
Cross-industry,Miscellaneous Mathematical Science Occupations,US,"4,660","$84,700 ",$40.72 
Cross-industry,"Mathematical Science Occupations, All Other",US,"4,660","$84,700 ",$40.72 
Cross-industry,Architecture and Engineering Occupations,US,"2,567,210","$103,980 ",$49.99 
Cross-industry,"Architects, Surveyors, and Cartographers",US,"196,590","$93,330 ",$44.87 
Cross-industry,"Architects, Except Naval",US,"130,720","$101,090 ",$48.60 
Cross-industry,"Architects, Except Landscape and Naval",US,"111,140","$103,390 ",$49.71 
Cross-industry,Landscape Architects,US,"19,580","$88,000 ",$42.31 
Cross-industry,"Surveyors, Cartographers, and Photogrammetrists",US,"65,870","$77,920 ",$37.46 
Cross-industry,Cartographers and Photogrammetrists,US,"12,790","$82,860 ",$39.84 
Cross-industry,Surveyors,US,"53,080","$76,730 ",$36.89 
Cross-industry,Engineers,US,"1,746,750","$116,760 ",$56.13 
Cross-industry,Aerospace Engineers,US,"68,440","$141,180 ",$67.88 
